발생년,발생년월일시분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2015,2015-01-06 2:30,야간,화,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,906416,1499335,126.4927104,33.48175278
2015,2015-01-12 19:38,야간,월,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,943557,1494870,126.8927317,33.44408644
2015,2015-01-15 18:10,야간,목,1,1,0,0,0,제주,서귀포시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,자전거,자전거,928082,1476978,126.7276754,33.28179093
2015,2015-01-18 2:50,야간,일,1,1,0,0,0,제주,서귀포시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,보행자,보행자,939015,1483555,126.8446335,33.3417851
2015,2015-01-28 18:45,야간,수,1,3,2,0,0,제주,서귀포시,차대차,기타,기타,운전자법규위반,직진 및 우회전차의 통행방해,교차로,교차로내,승합차,대형,농기계,농기계,900382,1472415,126.4307465,33.23843596
2015,2015-01-29 11:25,주간,목,1,1,0,0,0,제주,제주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,없음,없음,922371,1505870,126.6638574,33.54196652
2015,2015-01-29 17:30,주간,목,1,1,0,0,0,제주,제주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,917875,1492447,126.6166655,33.42057337
2015,2015-01-29 18:05,야간,목,1,1,0,0,0,제주,제주시,차대사람,기타,기타,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,승용차,중형,보행자,보행자,909613,1503156,126.5267313,33.51648676
2015,2015-02-09 18:20,야간,월,1,2,1,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,화물차,소형,보행자,보행자,914475,1474262,126.5818218,33.25630209
2015,2015-02-10 21:47,야간,화,1,1,0,0,0,제주,제주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,898431,1499670,126.4067391,33.48404555
2015,2015-02-17 17:30,주간,화,2,13,4,7,0,제주,제주시,차대차,기타,기타,운전자법규위반,과속,교차로,교차로내,승합차,소형,승용차,소형,902111,1499353,126.4463783,33.48152987
2015,2015-02-20 18:50,야간,금,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,소형,보행자,보행자,925599,1476940,126.7010159,33.28127968
2015,2015-02-21 15:20,주간,토,1,7,5,0,1,제주,서귀포시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,승용차,중형,894936,1476925,126.3717785,33.27859208
2015,2015-02-21 19:39,야간,토,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,911317,1498178,126.5455701,33.47173594
2015,2015-02-24 5:58,야간,화,1,2,1,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,횡단보도상,승용차,중형,보행자,보행자,906554.5,1500908.4,126.4940369,33.49595423
2015,2015-02-27 13:50,주간,금,1,1,0,0,0,제주,제주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,화물차,중형,911691,1501846,126.5492333,33.50484645
2015,2015-03-01 17:30,주간,일,1,2,1,0,0,제주,제주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,880526,1487756,126.2156373,33.37476155
2015,2015-03-04 0:03,야간,수,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,승용차,중형,보행자,보행자,910706.2,1502656.7,126.538551,33.51207582
2015,2015-03-13 8:30,주간,금,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,기타단일로,화물차,소형,보행자,보행자,884261,1484831,126.2561561,33.34879364
2015,2015-03-16 2:42,야간,월,1,2,1,0,0,제주,제주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,소형,없음,없음,906404,1500674,126.4924414,33.49382719
2015,2015-03-22 22:05,야간,일,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,화물차,경형,보행자,보행자,913213,1474396,126.568262,33.25740985
2015,2015-03-24 16:20,주간,화,1,1,0,0,0,제주,서귀포시,차대차,기타,기타,운전자법규위반,신호위반,교차로,교차로내,화물차,경형,화물차,소형,918318,1478333,126.622708,33.29331589
2015,2015-04-08 16:10,주간,수,1,1,0,0,0,제주,서귀포시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,원동기장치자전거,원동기장치자전거,879344,1475882,126.2045188,33.2675545
2015,2015-04-10 2:40,야간,금,1,2,1,0,0,제주,서귀포시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,건설기계,건설기계,905698,1473694,126.4876651,33.25044814
2015,2015-04-17 14:35,주간,금,2,2,0,0,0,제주,제주시,차대차,측면충돌,측면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,화물차,대형,이륜차,소형,880397,1478376,126.215493,33.29016193
2015,2015-05-05 1:00,야간,화,1,1,0,0,0,제주,제주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,소형,보행자,보행자,906014,1500365,126.4882761,33.49100634
2015,2015-05-06 18:30,야간,수,1,1,0,0,0,제주,제주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,922355,1500581,126.664144,33.49426565
2015,2015-05-11 21:25,야간,월,1,1,0,0,0,제주,제주시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,없음,없음,888429.4,1495365.1,126.2996396,33.44422884
2015,2015-05-16 10:15,주간,토,1,1,0,0,0,제주,제주시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,896523,1500211,126.3861429,33.48874141
2015,2015-05-22 10:33,주간,금,1,1,0,0,0,제주,제주시,차대차,추돌,진행중 추돌,운전자법규위반,부당한 회전,단일로,횡단보도상,자전거,자전거,승용차,중형,910761,1502012,126.5392052,33.50626626
2015,2015-05-24 14:55,주간,일,1,1,0,0,0,제주,서귀포시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,대형,없음,없음,916432,1481758,126.6021373,33.32406072
2015,2015-05-26 9:10,주간,화,1,4,0,3,0,제주,제주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,화물차,소형,937351,1505048,126.8252538,33.5355373
2015,2015-06-05 20:42,야간,금,1,1,0,0,0,제주,제주시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,없음,없음,884402,1491705,126.2567892,33.41079646
2015,2015-06-15 21:50,야간,월,1,1,0,0,0,제주,제주시,차량단독,도로이탈,도로이탈 기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,사발이,없음,없음,887028,1487791,126.2855163,33.37578066
2015,2015-06-21 11:25,주간,일,1,1,0,0,0,제주,서귀포시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,농기계,농기계,없음,없음,894413,1477821,126.3660588,33.28662129
2015,2015-06-22 14:20,주간,월,1,1,0,0,0,제주,제주시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,없음,없음,905678,1497653,126.4849449,33.46651924
2015,2015-06-24 20:15,야간,수,1,1,0,0,0,제주,서귀포시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,945301,1496067,126.9114215,33.45497295
2015,2015-06-29 2:45,야간,월,1,1,0,0,0,제주,제주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,과속,단일로,기타단일로,승용차,중형,없음,없음,911853.6,1496357.8,126.5515232,33.45536486
2015,2015-06-29 10:30,주간,월,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,승용차,소형,보행자,보행자,905783,1473695,126.4885773,33.25046459
2015,2015-07-07 12:05,주간,화,1,1,0,0,0,제주,제주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,과속,단일로,기타단일로,승용차,소형,없음,없음,893025,1497738,126.3487909,33.46609611
2015,2015-07-08 12:50,주간,수,1,1,0,0,0,제주,제주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,소형,보행자,보행자,887872,1485719,126.2948455,33.35718412
2015,2015-07-18 20:40,야간,토,1,1,0,0,0,제주,제주시,차대사람,기타,기타,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,승용차,중형,보행자,보행자,898061.4,1499541.5,126.4027761,33.48285158
2015,2015-07-20 15:15,주간,월,1,2,1,0,0,제주,서귀포시,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,경형,화물차,대형,896886,1480773,126.3922765,33.31348261
2015,2015-07-29 11:40,주간,수,1,2,0,0,1,제주,제주시,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,중형,이륜차,중형,907479.8,1501814.8,126.503903,33.50420887
2015,2015-07-31 11:30,주간,금,1,3,2,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,승용차,중형,보행자,보행자,913485,1473522,126.5712652,33.24954924
2015,2015-07-31 21:13,야간,금,1,2,1,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,승용차,소형,보행자,보행자,909744.9,1501534.9,126.5283148,33.50187829
2015,2015-08-01 22:25,야간,토,1,1,0,0,0,제주,제주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,없음,없음,945227,1499859,126.9103937,33.48917002
2015,2015-08-09 5:10,야간,일,2,2,0,0,0,제주,서귀포시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,소형,농기계,농기계,918473,1475021,126.6246708,33.26345697
2015,2015-08-10 14:00,주간,월,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,907307,1501852,126.502039,33.50452938
2015,2015-08-17 15:08,주간,월,1,4,1,2,0,제주,제주시,차대차,측면충돌,측면충돌,운전자법규위반,직진 및 우회전차의 통행방해,교차로,교차로내,승용차,중형,승합차,대형,890485,1497586,126.3214803,33.46446858
2015,2015-08-17 16:50,주간,월,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,921118,1476408,126.6529458,33.27616299
2015,2015-08-27 10:30,주간,목,1,1,0,0,0,제주,서귀포시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,건설기계,건설기계,보행자,보행자,945412,1495160,126.912671,33.44679815
2015,2015-08-27 14:37,주간,목,1,5,4,0,0,제주,제주시,차대차,기타,기타,운전자법규위반,과속,교차로,교차로내,승용차,중형,승용차,중형,929311.2,1507195.4,126.7384995,33.5544022
2015,2015-08-27 23:30,야간,목,1,1,0,0,0,제주,서귀포시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,화물차,대형,907362,1474312,126.5054627,33.25616578
2015,2015-08-30 19:34,야간,일,1,5,2,2,0,제주,제주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,소형,농기계,농기계,878866,1486582,126.1979538,33.3639891
2015,2015-09-01 10:30,주간,화,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,소형,보행자,보행자,938459,1504557,126.8372203,33.53117341
2015,2015-09-02 0:30,야간,수,1,4,2,1,0,제주,서귀포시,차대차,기타,기타,운전자법규위반,과속,교차로,교차로내,승용차,중형,승용차,소형,937571.5,1482575.3,126.8291898,33.33286609
2015,2015-09-07 21:24,야간,월,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,913662.2,1503408.8,126.5703027,33.51910151
2015,2015-09-11 19:40,야간,금,1,1,0,0,0,제주,제주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,농기계,농기계,897218,1496321,126.3940686,33.45372837
2015,2015-09-14 2:45,야간,월,1,1,0,0,0,제주,제주시,차대차,추돌,진행중 추돌,운전자법규위반,안전거리 미확보,단일로,횡단보도부근,이륜차,소형,화물차,소형,909156.6,1501300.2,126.5220058,33.49971186
2015,2015-09-20 21:15,야간,일,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,승용차,중형,보행자,보행자,916474.5,1503602.8,126.6005645,33.52107467
2015,2015-09-21 12:15,주간,월,1,1,0,0,0,제주,제주시,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,원동기장치자전거,원동기장치자전거,승합차,대형,905915.2,1499030,126.4873528,33.47895828
2015,2015-09-25 18:30,야간,금,1,1,0,0,0,제주,제주시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,소형,자전거,자전거,885753,1494034,126.2710199,33.43194338
2015,2015-09-25 20:45,야간,금,1,2,1,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,소형,보행자,보행자,939090,1483457,126.8454461,33.34090545
2015,2015-09-27 10:02,주간,일,1,1,0,0,0,제주,서귀포시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,없음,없음,902574,1474004,126.4541003,33.25296639
2015,2015-10-01 19:30,야간,목,1,2,0,0,1,제주,서귀포시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,없음,없음,889562,1472426,126.3146289,33.23748271
2015,2015-10-02 20:15,야간,금,1,1,0,0,0,제주,제주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,승용차,중형,보행자,보행자,922449,1505472,126.664732,33.53838277
2015,2015-10-03 8:05,주간,토,1,2,1,0,0,제주,서귀포시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,화물차,소형,924139,1489988,126.6842421,33.39885743
2015,2015-10-03 11:55,주간,토,1,1,0,0,0,제주,제주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,없음,없음,924767,1497524,126.6903637,33.46686767
2015,2015-10-05 18:00,야간,월,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,승용차,중형,보행자,보행자,886616,1473822,126.28284,33.24976649
2015,2015-10-22 18:25,야간,목,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,소형,보행자,보행자,877833,1485527,126.1869957,33.35435872
2015,2015-11-06 19:15,야간,금,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,885835,1491331,126.2722449,33.4075773
2015,2015-11-07 8:15,주간,토,1,1,0,0,0,제주,제주시,차대사람,기타,기타,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,화물차,중형,보행자,보행자,901739.9,1500660.9,126.4422412,33.49329066
2015,2015-11-13 12:55,주간,금,1,1,0,0,0,제주,서귀포시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,소형,보행자,보행자,907818,1474582,126.5103301,33.25863987
2015,2015-11-14 6:05,주간,토,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,승용차,중형,보행자,보행자,909931,1502762,126.5301946,33.5129604
2015,2015-11-18 10:20,주간,수,1,1,0,0,0,제주,제주시,차대차,정면충돌,정면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,대형,이륜차,소형,890962,1492328,126.3272506,33.41710145
2015,2015-11-23 9:17,주간,월,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,913746,1498143,126.571712,33.47161881
2015,2015-11-24 22:00,야간,화,1,1,0,0,0,제주,제주시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,승용차,대형,899184,1499546,126.4148569,33.48299854
2015,2015-11-26 3:50,야간,목,1,1,0,0,0,제주,서귀포시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,931181,1492198,126.7597922,33.41926418
2015,2015-12-11 13:30,주간,금,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,화물차,소형,보행자,보행자,889217,1495862,126.3080503,33.4487915
2015,2015-12-12 0:13,야간,토,1,1,0,0,0,제주,제주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,885137,1491751,126.2646864,33.41129023
2015,2015-12-13 5:30,야간,일,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,과속,교차로,교차로내,화물차,소형,보행자,보행자,937473,1505440,126.8265403,33.53907989
2015,2015-12-13 6:27,주간,일,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,대형,보행자,보행자,883764,1471207,126.2525654,33.22588133
2015,2015-12-15 10:40,주간,화,1,2,1,0,0,제주,서귀포시,차대차,기타,기타,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,경형,화물차,소형,893271,1482353,126.3532616,33.32737894
2015,2015-12-16 7:25,주간,수,1,1,0,0,0,제주,제주시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,중형,화물차,중형,888972.7,1495582,126.3054569,33.44624124
2015,2015-12-16 18:25,야간,수,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,화물차,소형,보행자,보행자,884206,1484347,126.2556272,33.34442313
2015,2015-12-18 18:30,야간,금,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,보행자,보행자,904435.1,1500704.4,126.471246,33.4939272
2015,2015-12-19 15:37,주간,토,1,1,0,0,0,제주,서귀포시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,대형,건설기계,건설기계,896886,1480772,126.3922766,33.31347359
2015,2015-12-28 11:18,주간,월,2,4,0,0,2,제주,서귀포시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,중형,승합차,대형,916244,1479163,126.600358,33.30064229
2016,2016-02-27 20:00,야간,토,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,907294,1473619,126.5048036,33.24991002
2016,2016-03-22 14:00,주간,화,1,1,0,0,0,제주,서귀포시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,화물차,소형,917693,1473736,126.6160859,33.25141553
2016,2016-03-15 14:00,주간,화,1,2,1,0,0,제주,서귀포시,차대차,기타,기타,운전자법규위반,직진 및 우회전차의 통행방해,교차로,교차로내,화물차,대형,승용차,중형,937911,1491387,126.8321306,33.41235178
2016,2016-03-13 21:00,야간,일,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,909266,1501305,126.523001,33.49976029
2016,2016-08-15 2:00,야간,월,1,1,0,0,0,제주,제주시,차대차,기타,기타,운전자법규위반,안전거리 미확보,교차로,교차로부근,이륜차,소형,이륜차,소형,904447,1500697,126.4713748,33.49386153
2016,2016-08-21 20:00,야간,일,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,942052,1488017,126.8769009,33.38222658
2016,2016-08-02 2:00,야간,화,1,1,0,0,0,제주,제주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,885256,1492119,126.2659188,33.41456104
2016,2016-08-13 4:00,야간,토,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,소형,보행자,보행자,919953,1475252,126.6406246,33.26569147
2016,2016-07-05 1:00,야간,화,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,907360,1501264,126.5026332,33.49927783
2016,2016-12-29 7:00,주간,목,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,화물차,소형,보행자,보행자,900562,1473966,126.4882424,33.25055837
2016,2016-04-29 17:00,주간,금,1,1,0,0,0,제주,서귀포시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,대형,보행자,보행자,912707,1473965,126.5628717,33.25348192
2016,2016-04-09 5:00,야간,토,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,승용차,경형,보행자,보행자,913531,1501457,126.5684246,33.50173722
2016,2016-07-12 2:00,야간,화,1,1,0,0,0,제주,서귀포시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,화물차,소형,,,913219,1475357,126.568352,33.26601695
2016,2016-12-18 20:00,야간,일,1,1,0,0,0,제주,제주시,차대차,기타,기타,운전자법규위반,안전거리 미확보,단일로,기타단일로,승합차,대형,이륜차,소형,904615,1499135,126.4733493,33.47979007
2016,2016-05-30 16:00,주간,월,1,1,0,0,0,제주,제주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,이륜차,소형,922237,1505183,126.6636167,33.53698809
2016,2016-04-10 19:00,야간,일,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,과속,교차로,교차로부근,승용차,중형,보행자,보행자,910105,1473591,126.5348978,33.25001463
2016,2016-05-05 13:00,주간,목,1,1,0,0,0,제주,제주시,차대차,정면충돌,정면충돌,운전자법규위반,교차로 통행방법 위반,교차로,교차로내,자전거,자전거,화물차,소형,910113,1501140,126.5322959,33.49829638
2016,2016-04-18 17:00,주간,월,2,2,0,0,0,제주,제주시,차대차,정면충돌,정면충돌,운전자법규위반,과속,교차로,교차로내,이륜차,소형,이륜차,소형,934816,1506617,126.7976986,33.54952098
